Date,Time,HomeTeam,AwayTeam,FTR
09/12/2024,20:00,West Ham,Wolves,H
14/12/2024,15:00,Arsenal,Everton,D
14/12/2024,15:00,Liverpool,Fulham,D
14/12/2024,15:00,Newcastle,Leicester,H
14/12/2024,15:00,Wolves,Ipswich,A
14/12/2024,17:30,Nott'm Forest,Aston Villa,H
15/12/2024,14:00,Brighton,Crystal Palace,A
15/12/2024,16:30,Man City,Man United,A
15/12/2024,19:00,Chelsea,Brentford,H
15/12/2024,19:00,Southampton,Tottenham,A
16/12/2024,20:00,Bournemouth,West Ham,D
21/12/2024,12:30,Aston Villa,Man City,H
21/12/2024,15:00,Brentford,Nott'm Forest,A
21/12/2024,15:00,Ipswich,Newcastle,A
21/12/2024,15:00,West Ham,Brighton,D
21/12/2024,17:30,Crystal Palace,Arsenal,A
22/12/2024,14:00,Everton,Chelsea,D
22/12/2024,14:00,Fulham,Southampton,D
22/12/2024,14:00,Leicester,Wolves,A
22/12/2024,14:00,Man United,Bournemouth,A
22/12/2024,16:30,Tottenham,Liverpool,A
26/12/2024,12:30,Man City,Everton,D
26/12/2024,15:00,Bournemouth,Crystal Palace,D
26/12/2024,15:00,Chelsea,Fulham,A
26/12/2024,15:00,Newcastle,Aston Villa,H
26/12/2024,15:00,Nott'm Forest,Tottenham,H
26/12/2024,15:00,Southampton,West Ham,A
26/12/2024,17:30,Wolves,Man United,H
26/12/2024,20:00,Liverpool,Leicester,H
27/12/2024,19:30,Brighton,Brentford,D
27/12/2024,20:15,Arsenal,Ipswich,H
29/12/2024,14:30,Leicester,Man City,A
29/12/2024,15:00,Crystal Palace,Southampton,H
29/12/2024,15:00,Everton,Nott'm Forest,A
29/12/2024,15:00,Fulham,Bournemouth,D
29/12/2024,15:00,Tottenham,Wolves,D
29/12/2024,17:15,West Ham,Liverpool,A
30/12/2024,19:45,Aston Villa,Brighton,D
30/12/2024,19:45,Ipswich,Chelsea,H
30/12/2024,20:00,Man United,Newcastle,A
01/01/2025,17:30,Brentford,Arsenal,A
04/01/2025,12:30,Tottenham,Newcastle,A
04/01/2025,15:00,Aston Villa,Leicester,H
04/01/2025,15:00,Bournemouth,Everton,H
04/01/2025,15:00,Crystal Palace,Chelsea,D
04/01/2025,15:00,Man City,West Ham,H
04/01/2025,15:00,Southampton,Brentford,A
04/01/2025,17:30,Brighton,Arsenal,D
05/01/2025,14:00,Fulham,Ipswich,D
05/01/2025,16:30,Liverpool,Man United,D
06/01/2025,20:00,Wolves,Nott'm Forest,A
14/01/2025,19:30,Brentford,Man City,D
14/01/2025,19:30,Chelsea,Bournemouth,D
14/01/2025,19:30,West Ham,Fulham,H
14/01/2025,20:00,Nott'm Forest,Liverpool,D
15/01/2025,19:30,Everton,Aston Villa,A
15/01/2025,19:30,Leicester,Crystal Palace,A
15/01/2025,19:30,Newcastle,Wolves,H
15/01/2025,20:00,Arsenal,Tottenham,H
16/01/2025,19:30,Ipswich,Brighton,A
16/01/2025,20:00,Man United,Southampton,H
18/01/2025,12:30,Newcastle,Bournemouth,A
18/01/2025,15:00,Brentford,Liverpool,A
18/01/2025,15:00,Leicester,Fulham,A
18/01/2025,15:00,West Ham,Crystal Palace,A
18/01/2025,17:30,Arsenal,Aston Villa,D
19/01/2025,14:00,Everton,Tottenham,H
19/01/2025,14:00,Man United,Brighton,A
19/01/2025,14:00,Nott'm Forest,Southampton,H
19/01/2025,16:30,Ipswich,Man City,A
20/01/2025,20:00,Chelsea,Wolves,H
25/01/2025,15:00,Bournemouth,Nott'm Forest,H
25/01/2025,15:00,Brighton,Everton,A
25/01/2025,15:00,Liverpool,Ipswich,H
25/01/2025,15:00,Southampton,Newcastle,A
25/01/2025,15:00,Wolves,Arsenal,A
25/01/2025,17:30,Man City,Chelsea,H
26/01/2025,14:00,Crystal Palace,Brentford,A
26/01/2025,14:00,Tottenham,Leicester,A
26/01/2025,16:30,Aston Villa,West Ham,D
26/01/2025,19:00,Fulham,Man United,A
01/02/2025,12:30,Nott'm Forest,Brighton,H
01/02/2025,15:00,Bournemouth,Liverpool,A
01/02/2025,15:00,Everton,Leicester,H
01/02/2025,15:00,Ipswich,Southampton,A
01/02/2025,15:00,Newcastle,Fulham,A
01/02/2025,17:30,Wolves,Aston Villa,H
02/02/2025,14:00,Brentford,Tottenham,A
02/02/2025,14:00,Man United,Crystal Palace,A
02/02/2025,16:30,Arsenal,Man City,H
03/02/2025,20:00,Chelsea,West Ham,H
12/02/2025,19:30,Everton,Liverpool,D
14/02/2025,20:00,Brighton,Chelsea,H
15/02/2025,12:30,Leicester,Arsenal,A
15/02/2025,15:00,Aston Villa,Ipswich,D
15/02/2025,15:00,Fulham,Nott'm Forest,H
15/02/2025,15:00,Man City,Newcastle,H
15/02/2025,15:00,Southampton,Bournemouth,A
15/02/2025,15:00,West Ham,Brentford,A
15/02/2025,17:30,Crystal Palace,Everton,A
16/02/2025,14:00,Liverpool,Wolves,H
16/02/2025,16:30,Tottenham,Man United,H
19/02/2025,19:30,Aston Villa,Liverpool,D
21/02/2025,20:00,Leicester,Brentford,A
22/02/2025,12:30,Everton,Man United,D
22/02/2025,15:00,Arsenal,West Ham,A
22/02/2025,15:00,Bournemouth,Wolves,A
22/02/2025,15:00,Fulham,Crystal Palace,A
22/02/2025,15:00,Ipswich,Tottenham,A
22/02/2025,15:00,Southampton,Brighton,A
22/02/2025,17:30,Aston Villa,Chelsea,H
23/02/2025,14:00,Newcastle,Nott'm Forest,H
23/02/2025,16:30,Man City,Liverpool,A
25/02/2025,19:30,Brighton,Bournemouth,H
25/02/2025,19:30,Crystal Palace,Aston Villa,H
25/02/2025,19:30,Wolves,Fulham,A
25/02/2025,20:15,Chelsea,Southampton,H
26/02/2025,19:30,Brentford,Everton,D
26/02/2025,19:30,Man United,Ipswich,H
26/02/2025,19:30,Nott'm Forest,Arsenal,D
26/02/2025,19:30,Tottenham,Man City,A
26/02/2025,20:15,Liverpool,Newcastle,H
27/02/2025,20:00,West Ham,Leicester,H
08/03/2025,12:30,Nott'm Forest,Man City,H
08/03/2025,15:00,Brighton,Fulham,H
08/03/2025,15:00,Crystal Palace,Ipswich,H
08/03/2025,15:00,Liverpool,Southampton,H
08/03/2025,17:30,Brentford,Aston Villa,A
08/03/2025,20:00,Wolves,Everton,D
09/03/2025,14:00,Chelsea,Leicester,H
09/03/2025,14:00,Tottenham,Bournemouth,D
09/03/2025,16:30,Man United,Arsenal,D
10/03/2025,20:00,West Ham,Newcastle,A
15/03/2025,15:00,Everton,West Ham,D
15/03/2025,15:00,Ipswich,Nott'm Forest,A
15/03/2025,15:00,Man City,Brighton,D
15/03/2025,15:00,Southampton,Wolves,A
15/03/2025,17:30,Bournemouth,Brentford,A
16/03/2025,13:30,Arsenal,Chelsea,H
16/03/2025,13:30,Fulham,Tottenham,H
16/03/2025,19:00,Leicester,Man United,A
01/04/2025,19:45,Arsenal,Fulham,H
01/04/2025,19:45,Wolves,West Ham,H
01/04/2025,20:00,Nott'm Forest,Man United,H
02/04/2025,19:45,Bournemouth,Ipswich,A
02/04/2025,19:45,Brighton,Aston Villa,A
02/04/2025,19:45,Man City,Leicester,H
02/04/2025,19:45,Newcastle,Brentford,H
02/04/2025,19:45,Southampton,Crystal Palace,D
02/04/2025,20:00,Liverpool,Everton,H
03/04/2025,20:00,Chelsea,Tottenham,H
05/04/2025,12:30,Everton,Arsenal,D
05/04/2025,15:00,Crystal Palace,Brighton,H
05/04/2025,15:00,Ipswich,Wolves,A
05/04/2025,15:00,West Ham,Bournemouth,D
05/04/2025,17:30,Aston Villa,Nott'm Forest,H
06/04/2025,14:00,Brentford,Chelsea,D
06/04/2025,14:00,Fulham,Liverpool,H
06/04/2025,14:00,Tottenham,Southampton,H
06/04/2025,16:30,Man United,Man City,D
07/04/2025,20:00,Leicester,Newcastle,A
12/04/2025,12:30,Man City,Crystal Palace,H
12/04/2025,15:00,Brighton,Leicester,D
12/04/2025,15:00,Nott'm Forest,Everton,A
12/04/2025,15:00,Southampton,Aston Villa,A
12/04/2025,17:30,Arsenal,Brentford,D
13/04/2025,14:00,Chelsea,Ipswich,D
13/04/2025,14:00,Liverpool,West Ham,H
13/04/2025,14:00,Wolves,Tottenham,H
13/04/2025,16:30,Newcastle,Man United,H
14/04/2025,20:00,Bournemouth,Fulham,H
16/04/2025,19:30,Newcastle,Crystal Palace,H
19/04/2025,15:00,Brentford,Brighton,H
19/04/2025,15:00,Crystal Palace,Bournemouth,D
19/04/2025,15:00,Everton,Man City,A
19/04/2025,15:00,West Ham,Southampton,D
19/04/2025,17:30,Aston Villa,Newcastle,H
20/04/2025,14:00,Fulham,Chelsea,A
20/04/2025,14:00,Ipswich,Arsenal,A
20/04/2025,14:00,Man United,Wolves,A
20/04/2025,16:30,Leicester,Liverpool,A
21/04/2025,20:00,Tottenham,Nott'm Forest,A
22/04/2025,20:00,Man City,Aston Villa,H
23/04/2025,20:00,Arsenal,Crystal Palace,D
26/04/2025,12:30,Chelsea,Everton,H
26/04/2025,15:00,Brighton,West Ham,H
26/04/2025,15:00,Newcastle,Ipswich,H
26/04/2025,15:00,Southampton,Fulham,A
26/04/2025,15:00,Wolves,Leicester,H
27/04/2025,14:00,Bournemouth,Man United,D
27/04/2025,16:30,Liverpool,Tottenham,H
01/05/2025,19:30,Nott'm Forest,Brentford,A
02/05/2025,20:00,Man City,Wolves,H
03/05/2025,12:30,Aston Villa,Fulham,H
03/05/2025,15:00,Everton,Ipswich,D
03/05/2025,15:00,Leicester,Southampton,H
03/05/2025,17:30,Arsenal,Bournemouth,A
04/05/2025,14:00,Brentford,Man United,H
04/05/2025,14:00,Brighton,Newcastle,D
04/05/2025,14:00,West Ham,Tottenham,D
04/05/2025,16:30,Chelsea,Liverpool,H
05/05/2025,20:00,Crystal Palace,Nott'm Forest,D
10/05/2025,15:00,Fulham,Everton,A
10/05/2025,15:00,Ipswich,Brentford,A
10/05/2025,15:00,Southampton,Man City,D
10/05/2025,15:00,Wolves,Brighton,A
10/05/2025,17:30,Bournemouth,Aston Villa,A
11/05/2025,12:00,Newcastle,Chelsea,H
11/05/2025,14:15,Man United,West Ham,A
11/05/2025,14:15,Nott'm Forest,Leicester,D
11/05/2025,14:15,Tottenham,Crystal Palace,A
11/05/2025,16:30,Liverpool,Arsenal,D
16/05/2025,19:30,Aston Villa,Tottenham,H
16/05/2025,20:15,Chelsea,Man United,H
18/05/2025,12:00,Everton,Southampton,H
18/05/2025,14:15,West Ham,Nott'm Forest,A
18/05/2025,15:00,Brentford,Fulham,A
18/05/2025,15:00,Leicester,Ipswich,H
18/05/2025,16:30,Arsenal,Newcastle,H
19/05/2025,20:00,Brighton,Liverpool,H
20/05/2025,20:00,Crystal Palace,Wolves,H
20/05/2025,20:00,Man City,Bournemouth,H
25/05/2025,16:00,Bournemouth,Leicester,H
25/05/2025,16:00,Fulham,Man City,A
25/05/2025,16:00,Ipswich,West Ham,A
25/05/2025,16:00,Liverpool,Crystal Palace,D
25/05/2025,16:00,Man United,Aston Villa,H
25/05/2025,16:00,Newcastle,Everton,A
25/05/2025,16:00,Nott'm Forest,Chelsea,A
25/05/2025,16:00,Southampton,Arsenal,A
25/05/2025,16:00,Tottenham,Brighton,A
25/05/2025,16:00,Wolves,Brentford,D
